155100,nan,0,0
149700,4396.118403882099,-0.4000000000000057,0,0
129700,4396.118403882099,-0.09999999999999432,0,0
336500,4396.118403882099,0.377000000000001,0,0
313900,4396.118403882099,0.5250000000000029,0,0
281000,17126.44371801275,-0.09599999999999796,0,0
74200,1300.701852994024,-0.5749999999999972,0,0
102100,3354.7287566797477,-0.6490000000000009,0,0
144800,-2596.527208673649,-0.3949999999999989,0,0
110100,14330.633566875584,-0.3110000000000014,0,0
96500,5030.359851562416,-0.48300000000000126,0,0
125900,3947.768355652137,-0.5660000000000025,0,0
196300,-5658.262861634178,-0.4120000000000033,0,0
91400,2030.9865745868906,-0.08400000000000035,0,0
92000,1584.321108824227,-0.001680000000001769,0,0
58900,-409.7922758816708,0.012160000000002925,0,0
220700,6177.206570830762,-0.1869999999999976,0,0
127400,3502.8480842997924,-0.2581600000000009,0,0
108500,4762.946025960168,-0.3553200000000004,0,0
259700,7588.157090578029,-0.49400000000000266,0,0
230400,-11079.445880490368,-0.2069999999999965,0,0
110900,529.5265395801607,-0.0009999999999962485,0,0
132700,-423.6056819353351,0.16399999999999865,0,0
167800,-13086.9653637804,0.4530000000000001,0,0
78600,-855.3105576680764,0.3869999999999976,0,0
61400,-213.90689354738868,0.40500000000000114,0,0
157700,15955.64859692189,-0.023999999999998068,0,0
126400,4963.344713314832,-0.5219999999999999,0,0
115600,3685.0468078553076,-0.6569999999999965,0,0
110400,-7908.086898670952,-0.39599999999999796,0,0
82700,3273.933271891849,-0.035999999999998526,0,0
94200,3266.5204962087914,0.0,0,0
351500,11218.280382033541,-0.25,0,0
142500,5416.375050748989,-0.5799200000000042,0,0
250800,3122.155348005862,-0.5989600000000053,0,0
185300,-726.9293143696842,-0.44600000000000084,0,0
124600,830.7464655601393,-0.18903999999999999,0,0
141400,3732.4506245850484,-0.13507999999999926,0,0
84400,4032.6209086973818,-0.1960000000000008,0,0
65000,-4239.726140304434,-0.1590000000000032,0,0
244600,-23070.250587973183,0.37600000000000194,0,0
163000,5461.577731597167,0.6040000000000021,0,0
156100,14706.073533882425,0.30699999999999933,0,0
213800,2281.1051826900907,-0.18100000000000024,0,0
165200,-4046.251014107938,-0.5150000000000035,0,0
257000,14061.06340333313,-0.5030000000000001,0,0
118700,5237.766713155345,-0.4369999999999976,0,0
98500,-820.3540150750755,-0.46699999999999875,0,0
100000,-6476.640910791254,-0.275,0,0
102000,2470.721381754082,0.06299999999999954,0,0
104800,3082.4633353505606,0.07299999999999898,0,0
97400,-2290.6692610238365,0.008600000000004117,0,0
140500,2495.9328369407176,-0.11970000000000028,0,0
140200,10939.241681168,-0.28000000000000397,0,0
216000,407.3396062604928,-0.3573000000000008,0,0
137300,-5917.710727976199,-0.26560000000000344,0,0
152900,2043.333024656313,-0.09199999999999875,0,0
114400,-612.6960911263524,0.11800000000000069,0,0
203400,-5628.538953380335,0.1840000000000032,0,0
204600,-15463.117387803926,0.4430000000000064,0,0
109700,8782.7722257785,0.45699999999999935,0,0
137000,9446.1901604026,0.12099999999999796,0,0
179200,-2048.2647593160764,-0.19100000000000536,0,0
284600,-5750.6604926445,-0.27400000000000374,0,0
399300,-2677.761410033952,0.09600000000000364,0,0
1652500,2883.5373397644303,0.23000000000000398,0,0
191000,-11465.186493454738,0.32800000000000296,0,0
149500,5279.105232917303,0.19900000000000093,0,0
133500,0.0,0.12399999999999807,0,0
179600,3199.4537752506603,0.006999999999999318,0,0
176300,10886.765858763247,-0.40699999999999936,0,0
179700,9484.40405930473,-0.5970000000000028,0,0
195000,-2747.1192830237355,-0.6050000000000012,0,0
167000,1018.0616052188896,-0.42999999999999833,0,0
222300,-7755.346381499883,0.017000000000001594,0,0
164300,5616.586619591857,0.14199999999999877,0,0
189800,-5718.909045316245,0.15499999999999547,0,0
147700,4087.2469887149878,0.07500000000000001,0,0
142400,12698.520888485555,-0.3119999999999948,0,0
212700,-16274.22830481251,-0.06299999999999387,0,0
110400,-920.9018623979048,0.04300000000000353,0,0
137300,307.0326066048068,0.2509999999999991,0,0
95400,8264.25944704301,0.17601999999999976,0,0
136000,10443.253385598262,-0.43999000000000027,0,0
226200,8259.534767628196,-0.722,0,0
234400,1806.7567056316848,-0.7530100000000005,0,0
153000,1704.3062122485962,-0.540020000000004,0,0
193100,100.1906344990644,-0.2710000000000036,0,0
255700,4701.128500092189,-0.1840000000000032,0,0
89100,-1798.6226693125218,-0.14199999999999877,0,0
295900,-10939.824896198046,0.1290000000000049,0,0
136753,-5147.261193761743,0.3890000000000015,0,0
117818,12182.360669802605,0.2739999999999981,0,0
180743,9592.688335667177,-0.18400000000000605,0,0
198300,298.7461700172389,-0.5550000000000012,0,0
161900,995.3740155363988,-0.5590000000000004,0,0
186200,4272.2999961082305,-0.31699999999999595,0,0
174100,595.1303106268568,-0.17699999999999536,0,0
146900,-495.92487542327035,-0.15700000000000217,0,0
119800,-4670.045533957002,0.004999999999998295,0,0
198023,-1892.1899496984197,0.18199999999999364,0,0
818400,-54532.10934075159,1.2819999999999965,0,0
470600,11339.569239865454,1.5420000000000016,0,0
560403,-4113.174677470077,1.3990000000000038,0,0
193500,-20743.63617276731,1.2640000000000045,0,0
404100,-16812.36845083678,0.8200000000000017,0,0
270600,24106.616771046418,0.6999999999999972,0,0
160100,-1143.7995085259445,0.21199999999999763,0,0
237400,12016.485406457277,-0.5689999999999998,0,0
300400,515.7086885612116,-0.7849999999999995,0,0
121000,3810.525576993129,-0.4150000000000006,0,0
225900,-26154.169283226558,0.14599999999999796,0,0
271500,7312.734908409446,0.4950000000000017,0,0
165900,5719.829243940211,0.3620000000000033,0,0
96100,-6240.939974144766,0.24900000000000092,0,0
259700,16376.770181268263,-0.44099999999999967,0,0
179600,9450.898491643933,-0.5880000000000024,0,0
188800,22856.058689716185,-1.0800000000000012,0,0
151100,806.0311912378993,-1.2829999999999986,0,0
300000,2817.568109399815,-0.9389999999999987,0,0
190300,-8570.390963935637,-0.38799999999999674,0,0
192100,-5775.8544104205,0.2689999999999998,0,0
331800,-9473.689033272947,0.5559999999999974,0,0
431500,3980.414013385669,0.5419999999999959,0,0
246600,-815.6003557706626,0.29199999999999876,0,0
171400,3564.852421402698,0.02300000000000182,0,0
108300,13063.484496351308,-0.4170000000000016,0,0
682240,1511.3613571555718,-0.5059999999999975,0,0
205900,4022.573471479163,-0.5819999999999993,0,0
167900,1706.2032455887888,-0.4570000000000022,0,0
118800,4006.654080850325,-0.2809999999999974,0,0
132700,-9231.99531774621,-0.0670000000000016,0,0
158100,9432.036227786433,-0.06599999999999966,0,0
117600,4792.679469057149,-0.1819999999999965,0,0
348800,14480.630024206854,-0.5340000000000004,0,0
153800,2268.001283222354,-0.8159999999999968,0,0
423500,1280.3383802104663,-0.6290000000000021,0,0
226300,-2660.4362355362455,-0.34600000000000364,0,0
193900,12764.689227896753,-0.26400000000000434,0,0
115600,-2837.736607656183,-0.277000000000001,0,0
92700,-195.91187440326507,-0.24499999999999889,0,0
165300,12776.358663733055,-0.42900000000000205,0,0
188300,485.4126895112998,-0.33899999999999864,0,0
277700,-1553.8958522895996,-0.3719999999999999,0,0
235500,-12825.081473799572,0.03380000000000223,0,0
155000,3270.774760550488,0.36539999999999967,0,0
219300,10622.789876027384,0.10799999999999557,0,0
203800,6394.334065841889,-0.2964000000000027,0,0
220200,4247.198424004672,-0.6798000000000002,0,0
164900,2311.3944184016686,-0.5959999999999951,0,0
174800,-1444.1874884338902,-0.3059999999999974,0,0
211800,5096.338632974095,-0.2210000000000008,0,0
