189145,nan,9,31
4192,-98.49109288673219,0.009900000000016007,9,32
9235,-98.49109288673219,-0.0062999999999959755,9,33
8686,-98.49109288673219,-0.011280000000002132,9,34
5162,-98.49109288673219,-0.018000000000000682,9,35
3986,-597.0596198698886,0.004720000000000369,9,36
8724,-498.7341535622747,0.026490000000001148,9,37
3373,1.991297502890177,0.03496999999999844,9,38
4478,198.1203605874171,0.022989999999998647,9,39
6895,447.910567028309,-0.005010000000001469,9,40
3603,-184.12417784574586,-0.015809999999996195,9,41
6643,-64.6978577281132,-0.010629999999997608,9,42
5952,-99.54083150898185,0.0004999999999967031,9,43
6620,-398.2320198883116,0.01665000000000134,9,44
13378,597.3068154148109,0.004300000000000637,9,45
3352,-298.6224954719674,0.0020000000000038654,9,46
4306,99.54769994546808,-0.0030000000000001137,9,47
4627,0.0,-0.006000000000005912,9,48
10079,-597.3892594210995,0.014999999999994885,9,49
15181,-996.1987972744168,0.03599999999999568,9,50
16285,-298.9938266830805,0.05399999999999921,9,51
4699,-99.67838058955181,0.05300000000000296,9,52
3173,-199.37742443154605,0.036000000000001364,9,53
8258,398.7272991281543,0.007000000000002161,9,54
6853,-0.9966808560690765,-0.00397999999999854,9,55
3168,165.43959309434086,-0.011290000000002465,9,56
3267,532.0686058229995,-0.023629999999997153,9,57
14062,578.6758067589659,-0.0325999999999965,9,58
4500,219.05935550936562,-0.041169999999999624,9,59
4765,-49.783296502070584,-0.033710000000002086,10,0
33702,-234.0045073214725,-0.012020000000003962,10,1
2688,-214.12248270191725,0.008449999999999137,10,2
12639,-299.8248757428712,0.020520000000004757,10,3
9341,200.22219415505305,0.016160000000002128,10,4
2664,-333.71909610657724,0.013999999999998637,10,5
1015,-97.63988385635969,0.012000000000000455,10,6
4306,-266.0523996773634,0.014309999999997559,10,7
4275,-107.6306393192894,0.019810000000001084,10,8
9072,-490.41899238488895,0.023049999999997794,10,9
1867,-598.2976478708935,0.035339999999996506,10,10
4279,299.1798388114475,0.02891999999999939,10,11
9568,-897.7257086435486,0.036839999999997985,10,12
3266,199.54288287671318,0.025999999999999093,10,13
19817,-598.7114655949811,0.02699999999999818,10,14
3071,897.9740507752965,0.012000000000003298,10,15
8944,-99.74729778061686,-0.01099999999999568,10,16
2109,428.8644584740098,-0.020599999999996045,10,17
42254,368.920888952573,-0.035300000000000865,10,18
17114,398.7272991281543,-0.030000000000003982,10,19
19131,199.32233257602405,-0.03570000000000278,10,20
3759,-99.65772399844752,-0.023399999999998047,10,21
15146,99.65772399844752,-0.012999999999999547,10,22
3837,99.65084036966942,-0.006000000000000227,10,23
17619,-99.65084036966942,-0.002000000000001023,10,24
6526,298.93187403118304,-0.008000000000004092,10,25
2997,-99.63707596849503,-0.005999999999997386,10,26
16792,416.4372511183956,-0.012359999999995354,10,27
6425,81.67933045921671,-0.0171799999999962,10,28
4009,-124.5130228433311,-0.010499999999996136,10,29
15356,24.90346428007939,-0.007570000000004029,10,30
2096,199.21224015106986,-0.002640000000002374,10,31
20769,-797.0140612281184,0.01174999999999784,10,32
4334,-299.99057639962246,0.023519999999996346,10,33
5546,399.6414167692919,0.02101000000000113,10,34
5089,-737.5792635988532,0.027800000000002004,10,35
1801,-458.68534962512086,0.025390000000004423,10,36
1667,-98.7361375246465,0.02995999999999981,10,37
7066,118.68201154552338,0.029189999999996986,10,38
22018,-818.0070426995201,0.02499999999999432,10,39
12666,399.08576765945725,0.01500999999999806,10,40
4136,74.81629268379919,0.008720000000002415,10,41
4141,-573.6907542024383,0.01365000000000407,10,42
5302,99.78869385918188,0.005000000000001137,10,43
4349,-299.38679059249296,0.018749999999997158,10,44
8406,598.7114655949811,0.0054999999999949985,10,45
18618,121.70760730789709,-0.013439999999999942,10,46
10506,276.2980097621437,-0.02119999999999607,10,47
21003,-398.0056170700408,-0.015989999999999328,10,48
9532,498.73649367615513,-0.008779999999998723,10,49
10842,-599.5021999600781,0.0034500000000008413,10,50
13668,-398.14325912335136,0.018990000000002283,10,51
12435,-598.9185891959181,0.03200000000000216,10,52
26368,-199.69479454573502,0.04599000000000047,10,53
6148,399.36195158585264,0.023979999999997406,10,54
17078,-998.6122367902084,0.026000000000001935,10,55
7364,-98.90022480618654,0.023980000000000248,10,56
9601,-700.4875451350756,0.038989999999998304,10,57
7689,249.856262360737,0.03899999999999864,10,58
