20741,nan,11,55
114515,1617.6711094244567,-0.024799999999999045,11,56
58715,1617.6711094244567,-0.017450000000000188,11,57
87937,1617.6711094244567,-0.012979999999999946,11,58
20593,1617.6711094244567,-0.010989999999999967,11,59
69835,-3910.3023243773905,0.0005099999999998772,12,0
129746,607.8041590109606,0.0066499999999997785,12,1
125150,-1915.7779937417629,0.016079999999999827,12,2
111870,1961.5163332851182,0.011980000000000147,12,3
81775,653.2465771060813,-0.004069999999999752,12,4
100536,2420.9637709002864,-0.013559999999999663,12,5
94573,-462.9968914677818,-0.018710000000000095,12,6
115470,1629.611650609597,-0.01600000000000037,12,7
76970,-325.7751037644141,-0.011790000000000234,12,8
43608,390.92129784989993,-0.0057800000000003855,12,9
66738,-2347.118263176462,0.0019000000000001906,12,10
35790,0.0,0.010000000000000142,12,11
58301,0.0,0.009600000000000365,12,12
50223,-1305.6064609511254,0.011200000000000189,12,13
88414,-1502.9095700000994,0.010599999999999811,12,14
49205,849.6629928940181,0.010300000000000155,12,15
195667,-1706.368345278264,0.012220000000000298,12,16
142018,-2212.7831348015548,0.015290000000000248,12,17
163005,1303.2032730695419,0.011390000000000101,12,18
226202,981.5365210599225,0.006389999999999674,12,19
15306,-327.10464733476385,-0.0027100000000004343,12,20
104678,-6.542849488866409,-0.006960000000000477,12,21
48053,660.6779959881237,-0.0034900000000000378,12,22
77504,1313.9151169223596,-0.0060200000000001815,12,23
46240,-6.533930136498611,-0.009019999999999584,12,24
122356,-653.5424985543159,-0.006019999999999826,12,25
32513,-653.838688231545,0.001010000000000133,12,26
27127,653.838688231545,0.004020000000000224,12,27
55331,653.5424985543159,0.0,12,28
120623,1632.5621758976895,-0.008999999999999985,12,29
42913,-979.315598791608,-0.009500000000000243,12,30
21614,-653.2465771060813,-0.0029999999999997585,12,31
55915,653.2465771060813,0.0004999999999999006,12,32
516519,-2614.7629103911995,0.010999999999999944,12,33
226433,1961.5163332851182,0.005000000000000071,12,34
214346,3699.998129881976,-0.010340000000000417,12,35
66653,-1741.1450918247695,-0.012669999999999959,12,36
44793,-1958.8530380572067,-0.008999999999999632,12,37
69554,0.0,0.005670000000000286,12,38
45383,-653.5424985543159,0.01634000000000029,12,39
35751,653.5424985543159,0.007000000000000029,12,40
46057,653.2465771060813,-0.0020000000000003127,12,41
36971,-653.2465771060813,-0.0019999999999999575,12,42
27474,326.6602619849124,-0.0030000000000001137,12,43
35873,-326.6602619849124,0.0004999999999999006,12,44
83595,1958.8530380572067,-0.003999999999999915,12,45
70289,2607.6736261542164,-0.016499999999999914,12,46
62710,-1792.2691841185667,-0.014499999999999603,12,47
39063,163.02559946090867,-0.010250000000000271,12,48
94584,-1631.0855789285483,0.00449999999999946,12,49
41366,1957.0815222182957,0.006249999999999645,12,50
24964,-652.0655663049268,-3.552713678800501e-16,12,51
39554,-652.3604184813792,0.0010000000000001564,12,52
44247,1956.1969653265621,-0.005999999999999873,12,53
34642,-651.770980540256,-0.0019999999999999575,12,54
217322,3255.9143606976095,-0.013999999999999702,12,55
165132,1950.027385270836,-0.0240000000000002,12,56
127850,-1950.027385270836,-0.016000000000000014,12,57
48947,975.3431633834352,-0.013000000000000256,12,58
71087,649.8626420201604,-0.003499999999999659,12,59
37151,-324.8947296450311,-0.0004999999999995453,13,0
77333,649.7163095122716,-0.006500000000000128,13,1
67528,1298.5554800097887,-0.007500000000000284,13,2
51284,0.0,-0.00800000000000054,13,3
155821,1297.3877141320145,-0.0120000000000001,13,4
96998,-1297.3877141320145,-0.005999999999999873,13,5
47343,0.0,0.0,13,6
92576,-973.8070169857949,0.005000000000000071,13,7
48407,324.6753790877577,0.007500000000000284,13,8
34904,0.0,0.0030000000000004693,13,9
82319,-655.9195570545739,0.0035199999999999676,13,10
337364,2278.201343749231,-0.00499000000000045,13,11
91499,324.2375653353946,-0.008500000000000441,13,12
49595,648.256600837449,-0.012010000000000432,13,13
143991,1295.63999807214,-0.015520000000000068,13,14
99749,-971.6208971282115,-0.007000000000000029,13,15
78246,971.6208971282115,-0.006500000000000128,13,16
64241,-971.6208971282115,-0.0009999999999998012,13,17
89137,-972.2757017813776,0.006000000000000227,13,18
21428,-324.2375653353946,0.007000000000000029,13,19
65437,0.0,0.008999999999999985,13,20
43582,324.2375653353946,0.0035000000000000144,13,21
75471,-1946.5193520300518,0.0055000000000003275,13,22
70284,-974.245421978992,0.010500000000000754,13,23
41965,-974.9037701016761,0.015500000000000114,13,24
117021,-1300.897329704398,0.01899999999999942,13,25
61119,-410.0257284536113,0.014759999999999707,13,26
108648,-240.86308966531078,0.011629999999999897,13,27
40679,1301.4841125214004,0.0030000000000004693,13,28
31197,-1366.5891483363168,0.000570000000000448,13,29
96091,1041.3281750532021,-0.002160000000000295,13,30
52785,325.26097328311465,-0.0035000000000000144,13,31
74893,-1952.6667193296987,0.003900000000000148,13,32
48650,0.0,0.004300000000000282,13,33
74607,651.1826068082983,0.006000000000000227,13,34
47395,-1954.4302481762088,0.008999999999999985,13,35
38020,0.0,0.005999999999999873,13,36
99090,1303.2476413679105,0.0030000000000001137,13,37
70554,651.1826068082983,-0.0019999999999999575,13,38
90873,-651.1826068082983,-0.007000000000000029,13,39
29291,1302.0714249272203,-0.00800000000000054,13,40
62239,1300.897329704398,-0.009000000000000697,13,41
18803,-650.3020353019195,-0.008000000000000186,13,42
31088,325.1876585137481,-0.00799999999999983,13,43
47504,-325.1876585137481,-0.0014999999999993465,13,44
24989,325.1876585137481,0.0010000000000005115,13,45
36841,325.11437678817146,-0.0020000000000003127,13,46
100422,-2928.670311694859,0.006999999999999673,13,47
60074,325.70155706324044,0.010000000000000142,13,48
38487,651.1826068082983,0.008999999999999985,13,49
52734,0.0,0.0045000000000001705,13,50
59645,650.888818118922,-0.006000000000000583,13,51
24579,-1302.0714249272203,-0.0010000000000001564,13,52
21632,0.0,0.0030000000000004693,13,53
86669,-1303.2476413679105,0.00800000000000054,13,54
61987,0.0,0.010000000000000498,13,55
48165,0.0,0.005999999999999873,13,56
21449,-652.0655663049268,0.005999999999999517,13,57
59672,2606.4958144811358,-0.005000000000000427,13,58
46541,0.0,-0.009000000000000341,13,59
82790,1301.4841125214004,-0.014000000000000058,14,0
40430,403.22179099128164,-0.015239999999999655,14,1
63756,-3659.136151688891,0.0033800000000002942,14,2
50264,651.770980540256,0.008999999999999985,14,3
25773,788.2493911566257,0.010199999999999676,14,4
30527,514.4098764793271,0.0030299999999996888,14,5
59710,-1954.4302481762088,-0.0019999999999999575,14,6
85650,645.2547280604292,0.002230000000000132,14,7
61871,332.2913562442409,0.0034300000000001777,14,8
30987,-1388.3130402430056,0.005760000000000077,14,9
29212,410.76695593833534,0.0016200000000001326,14,10
50355,-208.62891754003243,0.004120000000000346,14,11
265517,-117.36702574971503,0.003689999999999927,14,12
47845,0.0,0.00023999999999979593,14,13
74287,0.0,0.0011799999999997368,14,14
136914,1551.0819166451029,-0.004400000000000404,14,15
86415,78.1616680125552,-0.007379999999999854,14,16
85101,-325.70155706324044,-0.006499999999999773,14,17
71877,840.1601950858151,-0.006200000000000117,14,18
64135,1431.7035804367606,-0.007010000000000006,14,19
114146,1306.815576628928,-0.01349000000000018,14,20
181366,2597.111486039694,-0.023209999999999554,14,21
60479,0.0,-0.022429999999999242,14,22
70454,648.548017614381,-0.018019999999999925,14,23
162054,-2589.4475084449195,-0.0030200000000004225,14,24
38041,-6.495685696883413,0.008989999999999299,14,25
56069,324.74846302399385,0.008999999999999632,14,26
16141,-974.4647725362654,0.00951000000000022,14,27
55317,2597.111486039694,-0.004979999999999408,14,28
43888,-648.8396965176335,-0.006499999999999773,14,29
46866,-324.5293098572688,-0.005000000000000427,14,30
63104,-324.6023280407684,-0.0025000000000002134,14,31
65035,-2599.4512273825876,0.0129999999999999,14,32
83652,-1301.4841125214004,0.018500000000000228,14,33
71323,-1309.1755201157796,0.02302,14,34
81840,332.2913562442409,0.01900999999999975,14,35
50598,-306.22652291611985,0.009440000000000026,14,36
43099,631.9280799793603,0.001960000000000406,14,37
23698,-651.4766608276545,-0.0005199999999998539,14,38
60489,-1956.1969653265621,0.007029999999999959,14,39
11654,-332.81743218438464,0.011079999999999757,14,40
97097,332.81743218438464,0.01150999999999982,14,41
92958,-652.6555374319898,0.00799999999999983,14,42
158739,652.6555374319898,0.0004899999999999239,14,43
67969,652.3604184813792,-0.0030200000000000673,14,44
72653,1303.836546845183,-0.008000000000000186,14,45
61045,-651.770980540256,-0.008999999999999632,14,46
46320,-1957.0815222182957,0.0009999999999998012,14,47
73570,-652.9509235191356,0.010000000000000142,14,48
117525,-1960.6277638919423,0.020000000000000285,14,49
54948,653.838688231545,0.016000000000000014,14,50
26214,0.0,0.008000000000000186,14,51
54652,-653.838688231545,0.005000000000000071,14,52
58846,-654.1351464992573,0.0029999999999997585,14,53
79836,-1813.5045320875065,0.011539999999999752,14,54
48240,1813.5045320875065,0.007769999999999656,14,55
63774,327.10464733476385,0.0009999999999998012,14,56
89063,327.03049916449345,-0.005269999999999442,14,57
48747,-1963.2958904987063,-0.0025399999999997647,14,58
135749,0.0,0.006499999999999773,14,59
41015,-655.0261365152465,0.009999999999999787,15,0
129930,-1310.9451523467542,0.0129999999999999,15,1
164040,-1968.6539887455724,0.015000000000000568,15,2
133038,1312.7344316918866,0.013000000000000612,15,3
65165,-938.4834001151532,0.009860000000000113,15,4
63610,282.26549437793125,0.003429999999999822,15,5
130372,1312.1374627909076,-0.005000000000000427,15,6
27612,-655.9195570536858,-0.002430000000000021,15,7
74451,1311.5410365891478,-0.007860000000000157,15,8
143651,655.3236728112921,-0.008999999999999985,15,9
74992,655.0261365152465,-0.009000000000000341,15,10
59657,0.0,-0.010000000000000498,15,11
87429,0.0,-0.005000000000000071,15,12
108112,0.0,-0.0020000000000003127,15,13
48440,0.0,0.0,15,14
101129,654.7288702742903,-0.0019999999999996024,15,15
81159,1308.567020224416,-0.006999999999999318,15,16
43330,-327.03049916449345,-0.007999999999999475,15,17
40828,1634.4116859503542,-0.01149999999999949,15,18
51920,0.0,-0.009999999999999787,15,19
83842,424.6439194179885,-0.007800000000000296,15,20
31629,-1078.1864179723043,-0.003650000000000375,15,21
