year,month,day,hour,minute,open,close,low,high,volume
2019,3,6,13,41,142.6072,142.6100,142.6072,142.6100,3701
2019,3,6,13,42,142.6000,142.5899,142.5899,142.6000,13035
2019,3,6,13,43,142.5600,142.5719,142.5364,142.5719,8427
2019,3,6,13,44,142.5800,142.5800,142.5800,142.5800,2658
2019,3,6,13,45,142.5600,142.5600,142.5600,142.5600,2924
2019,3,6,13,46,142.5200,142.5200,142.5200,142.5200,1749
2019,3,6,13,47,142.5400,142.5400,142.5400,142.5400,812
2019,3,6,13,48,142.5100,142.4900,142.4900,142.5100,3161
2019,3,6,13,49,142.4500,142.4600,142.4500,142.4600,4175
2019,3,6,13,50,142.4663,142.4663,142.4663,142.4663,712
2019,3,6,13,51,142.4301,142.4562,142.4301,142.4562,3243
2019,3,6,13,52,142.4700,142.4700,142.4700,142.4700,1099
2019,3,6,13,53,142.4658,142.4658,142.4658,142.4658,1655
2019,3,6,13,54,142.4700,142.5040,142.4700,142.5040,4880
2019,3,6,13,55,142.5100,142.5100,142.5100,142.5100,1062
2019,3,6,13,56,142.5932,142.6200,142.5932,142.6200,3338
2019,3,6,13,57,142.6000,142.6000,142.6000,142.6000,4549
2019,3,6,13,58,142.6047,142.6047,142.6047,142.6047,1555
2019,3,6,13,59,142.6700,142.6900,142.6700,142.6900,3030
2019,3,6,14,0,142.6800,142.6900,142.6800,142.6900,1885
2019,3,6,14,1,142.6900,142.6700,142.6700,142.7100,13311
2019,3,6,14,2,142.6763,142.7100,142.6763,142.7100,3206
2019,3,6,14,3,142.7100,142.7100,142.7100,142.7100,2853
2019,3,6,14,4,142.7200,142.7200,142.7200,142.7200,761
2019,3,6,14,5,142.7300,142.7401,142.7300,142.7401,8787
2019,3,6,14,6,142.7000,142.7100,142.7000,142.7100,3008
2019,3,6,14,7,142.6900,142.6700,142.6600,142.7000,11232
2019,3,6,14,8,142.6400,142.6350,142.6350,142.6400,4144
2019,3,6,14,9,142.6550,142.6500,142.6500,142.6550,2320
2019,3,6,14,10,142.6300,142.6550,142.6300,142.6550,4249
2019,3,6,14,11,142.6500,142.6600,142.6500,142.6600,8185
2019,3,6,14,12,142.7049,142.7300,142.7049,142.7300,2800
2019,3,6,14,13,142.7301,142.7543,142.7301,142.7543,4985
2019,3,6,14,14,142.7499,142.7499,142.7499,142.7499,1688
2019,3,6,14,15,142.7500,142.7100,142.7100,142.7500,5330
2019,3,6,14,16,142.7000,142.6697,142.6697,142.7000,12075
2019,3,6,14,17,142.6700,142.6400,142.6400,142.6700,13187
2019,3,6,14,18,142.6876,142.6692,142.6692,142.6876,2411
2019,3,6,14,19,142.6800,142.6800,142.6800,142.6800,3638
2019,3,6,14,20,142.6547,142.6500,142.6500,142.6547,2460
2019,3,6,14,21,142.6500,142.6599,142.6500,142.6599,5167
2019,3,6,14,22,142.6800,142.6816,142.6800,142.6816,2892
2019,3,6,14,23,142.6800,142.6953,142.6800,142.6953,2698
2019,3,6,14,24,142.7200,142.7200,142.7200,142.7200,301
2019,3,6,14,25,142.7200,142.7288,142.7200,142.7288,4043
2019,3,6,14,26,142.7300,142.7400,142.7300,142.7400,2928
2019,3,6,14,27,142.6800,142.6600,142.6600,142.6800,4139
2019,3,6,14,28,142.6600,142.6600,142.6600,142.6600,701
2019,3,6,14,29,142.6950,142.6742,142.6742,142.6950,4351
2019,3,6,14,30,142.6499,142.6499,142.6499,142.6499,2483
2019,3,6,14,31,142.7100,142.7100,142.7100,142.7100,4082
2019,3,6,14,32,142.6700,142.6600,142.6600,142.6700,4793
2019,3,6,14,33,142.6900,142.6574,142.6574,142.6900,2304
2019,3,6,14,34,142.6000,142.5581,142.5581,142.6000,5736
2019,3,6,14,35,142.5600,142.5400,142.5400,142.5800,12762
2019,3,6,14,36,142.5500,142.5600,142.5500,142.5600,6117
2019,3,6,14,37,142.5624,142.6000,142.5624,142.6000,3804
2019,3,6,14,38,142.6200,142.6200,142.6200,142.6200,991
2019,3,6,14,39,142.6100,142.6134,142.6100,142.6134,5839
2019,3,6,14,40,142.6200,142.5700,142.5700,142.6200,5274
