year,month,day,hour,minute,open,close,low,high,volume
2019,3,4,10,52,144.5200,144.5000,144.5000,144.5200,12435
2019,3,4,10,53,144.4800,144.4800,144.4666,144.4800,26368
2019,3,4,10,54,144.4596,144.5200,144.4596,144.5200,6148
2019,3,4,10,55,144.4400,144.4200,144.4200,144.4500,17078
2019,3,4,10,56,144.4000,144.4101,144.4000,144.4101,7364
2019,3,4,10,57,144.4300,144.3400,144.3400,144.4300,9601
2019,3,4,10,58,144.3500,144.3650,144.3500,144.3650,7689
2019,3,4,10,59,144.3600,144.3600,144.3600,144.3600,4307
2019,3,4,11,0,144.3500,144.3400,144.3400,144.3500,9719
2019,3,4,11,1,144.3400,144.3400,144.3400,144.3400,1044
2019,3,4,11,2,144.3500,144.3200,144.3200,144.3500,8688
2019,3,4,11,3,144.3118,144.3000,144.3000,144.3118,11018
2019,3,4,11,4,144.3100,144.3000,144.3000,144.3100,5132
2019,3,4,11,5,144.2900,144.2800,144.2800,144.2900,4387
2019,3,4,11,6,144.2900,144.2300,144.2100,144.2900,34458
2019,3,4,11,7,144.2500,144.2300,144.2300,144.2500,6722
2019,3,4,11,8,144.2200,144.2200,144.2200,144.2200,7460
2019,3,4,11,9,144.1700,144.1400,144.1400,144.1700,9416
2019,3,4,11,10,144.1398,144.0800,144.0800,144.1398,9274
2019,3,4,11,11,144.0400,144.0800,144.0400,144.0900,9454
2019,3,4,11,12,144.1040,144.1361,144.1040,144.1361,2427
2019,3,4,11,13,144.1400,144.1600,144.1400,144.1700,5544
2019,3,4,11,14,144.1600,144.1600,144.1600,144.1600,7130
2019,3,4,11,15,144.1500,144.1300,144.1300,144.1500,3679
2019,3,4,11,16,144.1200,144.0899,144.0899,144.1200,6209
2019,3,4,11,17,144.0600,144.1200,144.0600,144.1200,10113
2019,3,4,11,18,144.1500,144.1364,144.1364,144.1500,4088
2019,3,4,11,19,144.1750,144.1600,144.1600,144.1750,2540
2019,3,4,11,20,144.1701,144.1800,144.1700,144.1800,19283
2019,3,4,11,21,144.1800,144.1600,144.1600,144.1950,15237
2019,3,4,11,22,144.1500,144.0650,144.0650,144.1500,11280
2019,3,4,11,23,144.1000,143.9600,143.9600,144.1000,19559
2019,3,4,11,24,143.9900,143.8810,143.8810,143.9900,9678
2019,3,4,11,25,143.8752,143.8300,143.8000,143.8752,22384
2019,3,4,11,26,143.8600,143.8700,143.8100,143.8700,11219
2019,3,4,11,27,143.8584,143.8300,143.8300,143.8584,2434
2019,3,4,11,28,143.8000,143.8375,143.8000,143.8500,6728
2019,3,4,11,29,143.7600,143.7800,143.7600,143.7800,4399
2019,3,4,11,30,143.8200,143.7800,143.7800,143.8200,3835
2019,3,4,11,31,143.7100,143.7600,143.6600,143.7600,17730
